source_order,title,location,approved,category_id,operation,status,featured,drive_folder_url,selected_images,notes
1,Kana,Zona 16,pending,,,,false,,,
2,Nogal Casas,Zona 16,ready_local,proyecto,Venta,Disponible,false,,5 imagenes listas,
3,Nogal Apartamentos,Zona 16,pending,,,,false,,,
4,Modento,Zona 15,pending,,,,false,,,
5,Latitud 14,Zona 14,pending,,,,false,,,
6,Vicinia Las Americas,Zona 13,pending,,,,false,,,
7,Minerva,Zona 2,ready_local,proyecto,Venta,Disponible,false,,4 imagenes listas,
8,Damare,Puerto,pending,,,,false,,,
9,Cetri,Zona 14,ready_local,proyecto,Venta,Disponible,false,,3 imagenes listas,
10,Gamma Sur,Amatitlan,pending,,,,false,,,
11,Gamma CA9,Amatitlan,ready_local,proyecto,Renta,Disponible,false,,5 imagenes listas,
12,Legacy 11,Zona 11,pending,,,,false,,,
13,Los Santos,Antigua Guatemala,pending,,,,false,,,
14,Los Franciscanos,Antigua Guatemala,ready_local,proyecto,Venta,Disponible,false,,5 imagenes listas,
15,Las Mariposas,Antigua Guatemala,ready_local,proyecto,Venta,Disponible,true,,6 imagenes listas,
16,Centra Petapa,Zona 11,pending,,,,false,,,
17,Amalfi,Zona 14,pending,,,,false,,,
18,Casa Arco,Zona 14,pending,,,,false,,,
19,Casa Hacienda,Zona 10,pending,,,,false,,,
20,Casa Nogal,Zona 14,pending,,,,false,,,
21,Casa Taure,Zona 10,pending,,,,false,,,
22,Casalini La Sexta,Zona 10,pending,,,,false,,,
23,Casalini Los Arcos,Zona 10,pending,,,,false,,,
24,Casa Arienzo,Zona 13,pending,,,,false,,,
25,Inhaus,Zona 10,pending,,,,false,,,
